
info [Tue Apr 18 2017 20:54:55 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:54:55 GMT+0900 (KST)]  job이 이미 등록되어 있습니다. ("my_alarm")
info [Tue Apr 18 2017 20:54:55 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.

info [Tue Apr 18 2017 20:55:50 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:56:41 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:58:31 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:58:31 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:58:31 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:58:31 GMT+0900 (KST)]  이미 꺼져있는 알람 입니다.
info [Tue Apr 18 2017 20:58:41 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:59:17 GMT+0900 (KST)]  job이 이미 등록되어 있습니다. ("my_alarm")
info [Tue Apr 18 2017 20:59:17 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.
info [Tue Apr 18 2017 20:59:17 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:59:17 GMT+0900 (KST)]  이미 켜져있는 알람입니다.

info [Tue Apr 18 2017 20:59:47 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:59:47 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 20:59:48 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 20:59:48 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 20:59:53 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:59:53 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 20:59:53 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 20:59:53 GMT+0900 (KST)]  이미 꺼져있는 알람 입니다.
info [Tue Apr 18 2017 20:59:58 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:59:58 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 시작 되었습니다.
info [Tue Apr 18 2017 20:59:58 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 20:59:58 GMT+0900 (KST)]  이미 켜져있는 알람입니다.
info [Tue Apr 18 2017 21:00:07 GMT+0900 (KST)]  on
info [Tue Apr 18 2017 21:00:07 GMT+0900 (KST)]  이미 켜져있는 알람입니다.
info [Tue Apr 18 2017 21:00:27 GMT+0900 (KST)]  remove
info [Tue Apr 18 2017 21:00:27 GMT+0900 (KST)]  "my_alarm" 알람을 제거하였습니다.
info [Tue Apr 18 2017 21:01:27 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 21:01:27 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 21:01:28 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 21:01:28 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 21:01:40 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 21:01:40 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 중지 되었습니다.
info [Tue Apr 18 2017 21:01:40 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 21:01:40 GMT+0900 (KST)]  이미 꺼져있는 알람 입니다.
